filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
10_18-34-22.000.jpeg,11913,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""point"",""cx"":28,""cy"":187}","{}"
10_18-34-22.000.jpeg,11913,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""point"",""cx"":47,""cy"":188}","{}"
10_18-34-22.000.jpeg,11913,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""point"",""cx"":51,""cy"":162}","{}"
10_18-34-22.000.jpeg,11913,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""point"",""cx"":86,""cy"":157}","{}"
10_18-34-22.000.jpeg,11913,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""point"",""cx"":113,""cy"":174}","{}"
10_18-34-22.000.jpeg,11913,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""point"",""cx"":150,""cy"":177}","{}"
10_18-34-22.179.jpeg,11976,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""point"",""cx"":28,""cy"":187}","{}"
10_18-34-22.179.jpeg,11976,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""point"",""cx"":48,""cy"":185}","{}"
10_18-34-22.179.jpeg,11976,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""point"",""cx"":52,""cy"":161}","{}"
10_18-34-22.179.jpeg,11976,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""point"",""cx"":87,""cy"":157}","{}"
10_18-34-22.179.jpeg,11976,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""point"",""cx"":116,""cy"":174}","{}"
10_18-34-22.179.jpeg,11976,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""point"",""cx"":150,""cy"":177}","{}"
10_18-34-22.500.jpeg,11897,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""point"",""cx"":28,""cy"":187}","{}"
10_18-34-22.500.jpeg,11897,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""point"",""cx"":47,""cy"":186}","{}"
10_18-34-22.500.jpeg,11897,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""point"",""cx"":52,""cy"":162}","{}"
10_18-34-22.500.jpeg,11897,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""point"",""cx"":86,""cy"":154}","{}"
10_18-34-22.500.jpeg,11897,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""point"",""cx"":115,""cy"":172}","{}"
10_18-34-22.500.jpeg,11897,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""point"",""cx"":151,""cy"":176}","{}"
10_18-34-22.999.jpeg,12028,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""point"",""cx"":24,""cy"":186}","{}"
10_18-34-22.999.jpeg,12028,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""point"",""cx"":43,""cy"":185}","{}"
