filename,region_count,region_id,x,y
10_18-34-22.000.jpeg,6,0,28,187
10_18-34-22.000.jpeg,6,1,47,188
10_18-34-22.000.jpeg,6,2,51,162
10_18-34-22.000.jpeg,6,3,86,157
10_18-34-22.000.jpeg,6,4,113,174
10_18-34-22.000.jpeg,6,5,150,177
10_18-34-22.179.jpeg,6,0,28,187
10_18-34-22.179.jpeg,6,1,48,185
10_18-34-22.179.jpeg,6,2,52,161
10_18-34-22.179.jpeg,6,3,87,157
10_18-34-22.179.jpeg,6,4,116,174
10_18-34-22.179.jpeg,6,5,150,177
10_18-34-22.500.jpeg,6,0,28,187
10_18-34-22.500.jpeg,6,1,47,186
10_18-34-22.500.jpeg,6,2,52,162
10_18-34-22.500.jpeg,6,3,86,154
10_18-34-22.500.jpeg,6,4,115,172
10_18-34-22.500.jpeg,6,5,151,176
10_18-34-22.999.jpeg,6,0,24,186
10_18-34-22.999.jpeg,6,1,43,185
10_18-34-22.999.jpeg,6,2,50,163
10_18-34-22.999.jpeg,6,3,82,154
10_18-34-22.999.jpeg,6,4,114,169
10_18-34-22.999.jpeg,6,5,144,179
10_18-34-23.159.jpeg,6,0,24,186
10_18-34-23.159.jpeg,6,1,43,186
10_18-34-23.159.jpeg,6,2,48,162
10_18-34-23.159.jpeg,6,3,84,155
10_18-34-23.159.jpeg,6,4,110,168
10_18-34-23.159.jpeg,6,5,143,177
10_18-34-23.313.jpeg,6,0,23,187
10_18-34-23.313.jpeg,6,1,42,186
10_18-34-23.313.jpeg,6,2,49,162
10_18-34-23.313.jpeg,6,3,85,156
10_18-34-23.313.jpeg,6,4,110,172
10_18-34-23.313.jpeg,6,5,144,177
10_18-34-23.485.jpeg,6,0,25,186
10_18-34-23.485.jpeg,6,1,42,186
10_18-34-23.485.jpeg,6,2,48,163
10_18-34-23.485.jpeg,6,3,85,158
10_18-34-23.485.jpeg,6,4,112,172
10_18-34-23.485.jpeg,6,5,145,178
10_18-34-23.801.jpeg,6,0,24,186
10_18-34-23.801.jpeg,6,1,42,184
10_18-34-23.801.jpeg,6,2,50,161
10_18-34-23.801.jpeg,6,3,84,156
10_18-34-23.801.jpeg,6,4,113,174
10_18-34-23.801.jpeg,6,5,144,178
10_18-34-24.322.jpeg,6,0,24,186
10_18-34-24.322.jpeg,6,1,40,186
10_18-34-24.322.jpeg,6,2,48,162
10_18-34-24.322.jpeg,6,3,83,157
10_18-34-24.322.jpeg,6,4,112,172
10_18-34-24.322.jpeg,6,5,144,178
10_18-34-24.598.jpeg,6,0,24,186
10_18-34-24.598.jpeg,6,1,40,186
10_18-34-24.598.jpeg,6,2,48,163
10_18-34-24.598.jpeg,6,3,82,158
10_18-34-24.598.jpeg,6,4,112,173
10_18-34-24.598.jpeg,6,5,146,179
10_18-34-24.912.jpeg,6,0,25,186
10_18-34-24.912.jpeg,6,1,41,186
10_18-34-24.912.jpeg,6,2,48,165
10_18-34-24.912.jpeg,6,3,84,161
10_18-34-24.912.jpeg,6,4,113,174
10_18-34-24.912.jpeg,6,5,145,178
10_18-34-25.068.jpeg,6,0,25,186
10_18-34-25.068.jpeg,6,1,40,186
10_18-34-25.068.jpeg,6,2,50,164
10_18-34-25.068.jpeg,6,3,86,162
10_18-34-25.068.jpeg,6,4,113,174
10_18-34-25.068.jpeg,6,5,145,177
10_18-34-25.396.jpeg,6,0,23,185
10_18-34-25.396.jpeg,6,1,40,185
10_18-34-25.396.jpeg,6,2,48,164
10_18-34-25.396.jpeg,6,3,90,165
10_18-34-25.396.jpeg,6,4,112,174
10_18-34-25.396.jpeg,6,5,144,178
10_18-34-26.546.jpeg,6,0,24,185
10_18-34-26.546.jpeg,6,1,41,185
10_18-34-26.546.jpeg,6,2,50,163
10_18-34-26.546.jpeg,6,3,83,160
10_18-34-26.546.jpeg,6,4,112,174
10_18-34-26.546.jpeg,6,5,144,176
10_18-34-26.851.jpeg,6,0,23,185
10_18-34-26.851.jpeg,6,1,42,184
10_18-34-26.851.jpeg,6,2,48,163
10_18-34-26.851.jpeg,6,3,86,162
10_18-34-26.851.jpeg,6,4,112,174
10_18-34-26.851.jpeg,6,5,144,177
10_18-34-27.345.jpeg,6,0,22,185
10_18-34-27.345.jpeg,6,1,41,185
10_18-34-27.345.jpeg,6,2,48,163
10_18-34-27.345.jpeg,6,3,86,161
10_18-34-27.345.jpeg,6,4,111,174
10_18-34-27.345.jpeg,6,5,144,178
10_18-34-27.517.jpeg,6,0,24,186
10_18-34-27.517.jpeg,6,1,41,185
10_18-34-27.517.jpeg,6,2,48,164
10_18-34-27.517.jpeg,6,3,86,162
10_18-34-27.517.jpeg,6,4,111,174
10_18-34-27.517.jpeg,6,5,144,177
10_18-34-27.869.jpeg,6,0,24,185
10_18-34-27.869.jpeg,6,1,41,185
10_18-34-27.869.jpeg,6,2,49,163
10_18-34-27.869.jpeg,6,3,84,160
10_18-34-27.869.jpeg,6,4,112,174
10_18-34-27.869.jpeg,6,5,143,178
10_18-34-28.619.jpeg,6,0,24,186
10_18-34-28.619.jpeg,6,1,41,185
10_18-34-28.619.jpeg,6,2,48,163
10_18-34-28.619.jpeg,6,3,86,161
10_18-34-28.619.jpeg,6,4,111,174
10_18-34-28.619.jpeg,6,5,144,178
10_18-34-29.109.jpeg,6,0,23,186
10_18-34-29.109.jpeg,6,1,40,186
10_18-34-29.109.jpeg,6,2,49,164
10_18-34-29.109.jpeg,6,3,83,162
10_18-34-29.109.jpeg,6,4,112,175
10_18-34-29.109.jpeg,6,5,145,178
10_18-34-29.278.jpeg,6,0,24,186
10_18-34-29.278.jpeg,6,1,42,185
10_18-34-29.278.jpeg,6,2,50,163
10_18-34-29.278.jpeg,6,3,88,162
10_18-34-29.278.jpeg,6,4,114,174
10_18-34-29.278.jpeg,6,5,145,178
10_18-34-29.430.jpeg,6,0,23,185
10_18-34-29.430.jpeg,6,1,41,185
10_18-34-29.430.jpeg,6,2,50,164
10_18-34-29.430.jpeg,6,3,86,162
10_18-34-29.430.jpeg,6,4,114,174
10_18-34-29.430.jpeg,6,5,145,178
10_18-34-29.608.jpeg,6,0,23,186
10_18-34-29.608.jpeg,6,1,42,185
10_18-34-29.608.jpeg,6,2,50,164
10_18-34-29.608.jpeg,6,3,84,160
10_18-34-29.608.jpeg,6,4,115,174
10_18-34-29.608.jpeg,6,5,147,177
10_18-34-32.418.jpeg,6,0,24,186
10_18-34-32.418.jpeg,6,1,41,185
