filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
28_07-31-16.839.jpeg,11137,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""point"",""cx"":150,""cy"":208}","{}"
28_07-31-16.839.jpeg,11137,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""point"",""cx"":134,""cy"":208}","{}"
28_07-31-16.839.jpeg,11137,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""point"",""cx"":132,""cy"":183}","{}"
28_07-31-16.839.jpeg,11137,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""point"",""cx"":94,""cy"":183}","{}"
28_07-31-16.839.jpeg,11137,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""point"",""cx"":67,""cy"":193}","{}"
28_07-31-16.839.jpeg,11137,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""point"",""cx"":35,""cy"":199}","{}"
28_07-31-17.069.jpeg,11077,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""point"",""cx"":151,""cy"":208}","{}"
28_07-31-17.069.jpeg,11077,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""point"",""cx"":134,""cy"":208}","{}"
28_07-31-17.069.jpeg,11077,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""point"",""cx"":133,""cy"":186}","{}"
28_07-31-17.069.jpeg,11077,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""point"",""cx"":95,""cy"":185}","{}"
28_07-31-17.069.jpeg,11077,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""point"",""cx"":67,""cy"":193}","{}"
28_07-31-17.069.jpeg,11077,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""point"",""cx"":35,""cy"":198}","{}"
28_07-31-17.300.jpeg,11142,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""point"",""cx"":151,""cy"":208}","{}"
28_07-31-17.300.jpeg,11142,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""point"",""cx"":134,""cy"":208}","{}"
28_07-31-17.300.jpeg,11142,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""point"",""cx"":132,""cy"":184}","{}"
28_07-31-17.300.jpeg,11142,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""point"",""cx"":95,""cy"":182}","{}"
28_07-31-17.300.jpeg,11142,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""point"",""cx"":66,""cy"":193}","{}"
28_07-31-17.300.jpeg,11142,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""point"",""cx"":33,""cy"":198}","{}"
28_07-31-17.559.jpeg,11102,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""point"",""cx"":151,""cy"":207}","{}"
28_07-31-17.559.jpeg,11102,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""point"",""cx"":133,""cy"":207}","{}"
28_07-31-17.559.jpeg,11102,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""point"",""cx"":131,""cy"":184}","{}"
28_07-31-17.559.jpeg,11102,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""point"",""cx"":95,""cy"":184}","{}"
28_07-31-17.559.jpeg,11102,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""point"",""cx"":67,""cy"":193}","{}"
28_07-31-17.559.jpeg,11102,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""point"",""cx"":35,""cy"":196}","{}"
28_07-31-17.819.jpeg,11091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""point"",""cx"":152,""cy"":208}","{}"
28_07-31-17.819.jpeg,11091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""point"",""cx"":134,""cy"":207}","{}"
28_07-31-17.819.jpeg,11091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""point"",""cx"":132,""cy"":184}","{}"
28_07-31-17.819.jpeg,11091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""point"",""cx"":95,""cy"":183}","{}"
28_07-31-17.819.jpeg,11091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""point"",""cx"":65,""cy"":192}","{}"
28_07-31-17.819.jpeg,11091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""point"",""cx"":35,""cy"":197}","{}"
