ID	;	x	;	y	;	score
0	;	130.0000	;	32.0000	;	0.881
1	;	134.0000	;	48.0000	;	0.629
2	;	130.0000	;	48.0000	;	0.566
3	;	106.0000	;	56.0000	;	0.366
4	;	102.0000	;	44.0000	;	0.142
5	;	140.0000	;	46.0000	;	0.810
6	;	106.0000	;	52.0000	;	0.692
7	;	102.0000	;	32.0000	;	0.590
8	;	128.0000	;	104.0000	;	0.691
9	;	118.0000	;	152.0000	;	0.570
10	;	120.0000	;	200.0000	;	0.457
11	;	138.0000	;	106.0000	;	0.747
12	;	120.0000	;	152.0000	;	0.776
13	;	122.0000	;	204.0000	;	0.867
14	;	128.0000	;	28.0000	;	0.849
15	;	134.0000	;	28.0000	;	0.862
17	;	142.0000	;	32.0000	;	0.741
