ID	;	x	;	y	;	score
0	;	200.0000	;	58.0000	;	0.872
1	;	208.0000	;	86.0000	;	0.724
2	;	202.0000	;	90.0000	;	0.843
3	;	254.0000	;	88.0000	;	0.780
4	;	254.0000	;	54.0000	;	0.829
5	;	214.0000	;	82.0000	;	0.539
6	;	250.0000	;	88.0000	;	0.177
8	;	232.0000	;	162.0000	;	0.565
9	;	252.0000	;	226.0000	;	0.652
10	;	236.0000	;	286.0000	;	0.623
11	;	240.0000	;	158.0000	;	0.449
12	;	250.0000	;	224.0000	;	0.433
13	;	246.0000	;	280.0000	;	0.314
14	;	192.0000	;	58.0000	;	0.855
15	;	200.0000	;	50.0000	;	0.942
16	;	184.0000	;	68.0000	;	0.903
17	;	204.0000	;	48.0000	;	0.296
