ID	;	x	;	y	;	score
0	;	192.0000	;	38.0000	;	0.740
1	;	186.0000	;	48.0000	;	0.729
2	;	184.0000	;	46.0000	;	0.745
3	;	202.0000	;	46.0000	;	0.887
4	;	206.0000	;	34.0000	;	0.571
5	;	188.0000	;	48.0000	;	0.562
6	;	202.0000	;	44.0000	;	0.178
8	;	184.0000	;	84.0000	;	0.734
9	;	192.0000	;	114.0000	;	0.680
10	;	194.0000	;	144.0000	;	0.807
11	;	188.0000	;	84.0000	;	0.743
12	;	194.0000	;	112.0000	;	0.756
13	;	196.0000	;	142.0000	;	0.706
14	;	190.0000	;	36.0000	;	0.803
15	;	192.0000	;	34.0000	;	0.590
16	;	184.0000	;	38.0000	;	0.761
