ID	;	x	;	y	;	score
0	;	188.0000	;	36.0000	;	0.970
1	;	186.0000	;	48.0000	;	0.774
2	;	182.0000	;	48.0000	;	0.737
3	;	196.0000	;	48.0000	;	0.560
4	;	202.0000	;	42.0000	;	0.611
5	;	192.0000	;	48.0000	;	0.657
6	;	204.0000	;	46.0000	;	0.443
7	;	204.0000	;	40.0000	;	0.365
8	;	182.0000	;	84.0000	;	0.773
9	;	192.0000	;	112.0000	;	0.738
10	;	194.0000	;	144.0000	;	0.820
11	;	190.0000	;	82.0000	;	0.748
12	;	194.0000	;	112.0000	;	0.766
13	;	196.0000	;	142.0000	;	0.714
14	;	186.0000	;	34.0000	;	0.929
15	;	190.0000	;	34.0000	;	0.880
16	;	182.0000	;	36.0000	;	0.787
17	;	192.0000	;	36.0000	;	0.430
