ID	;	x	;	y	;	score
0	;	41850.0000	;	5315.6250	;	0.716
1	;	42750.0000	;	8606.2500	;	0.801
2	;	45450.0000	;	9365.6250	;	0.351
5	;	42300.0000	;	8353.1250	;	0.643
6	;	33750.0000	;	7593.7500	;	0.207
7	;	33300.0000	;	5315.6250	;	0.143
8	;	39150.0000	;	15946.8750	;	0.706
9	;	38700.0000	;	22275.0000	;	0.714
10	;	38250.0000	;	27590.6250	;	0.439
11	;	43200.0000	;	16453.1250	;	0.734
12	;	38700.0000	;	22528.1250	;	0.866
13	;	38250.0000	;	28096.8750	;	0.535
14	;	42750.0000	;	4556.2500	;	0.332
15	;	43200.0000	;	5062.5000	;	0.697
17	;	45000.0000	;	6328.1250	;	0.704
