ID	;	x	;	y	;	score
0	;	172.0000	;	66.0000	;	0.885
1	;	176.0000	;	78.0000	;	0.759
2	;	174.0000	;	78.0000	;	0.671
3	;	158.0000	;	86.0000	;	0.235
4	;	158.0000	;	74.0000	;	0.322
5	;	178.0000	;	80.0000	;	0.753
6	;	160.0000	;	86.0000	;	0.776
7	;	158.0000	;	72.0000	;	0.636
8	;	168.0000	;	122.0000	;	0.567
9	;	166.0000	;	154.0000	;	0.529
11	;	172.0000	;	124.0000	;	0.789
12	;	164.0000	;	154.0000	;	0.731
13	;	166.0000	;	172.0000	;	0.206
14	;	170.0000	;	62.0000	;	0.678
15	;	174.0000	;	64.0000	;	0.764
17	;	182.0000	;	66.0000	;	0.824
