ID	;	x	;	y	;	score
0	;	164.0000	;	30.0000	;	0.755
1	;	176.0000	;	38.0000	;	0.657
2	;	174.0000	;	38.0000	;	0.537
3	;	154.0000	;	44.0000	;	0.250
4	;	152.0000	;	30.0000	;	0.197
5	;	178.0000	;	38.0000	;	0.766
6	;	152.0000	;	42.0000	;	0.767
7	;	152.0000	;	26.0000	;	0.743
8	;	168.0000	;	78.0000	;	0.621
9	;	162.0000	;	114.0000	;	0.707
10	;	162.0000	;	146.0000	;	0.690
11	;	170.0000	;	80.0000	;	0.773
12	;	156.0000	;	114.0000	;	0.692
13	;	158.0000	;	146.0000	;	0.674
15	;	164.0000	;	26.0000	;	0.797
17	;	172.0000	;	24.0000	;	0.839
