ID	;	x	;	y	;	score
0	;	126.0000	;	12.0000	;	0.783
1	;	132.0000	;	32.0000	;	0.637
2	;	130.0000	;	30.0000	;	0.534
3	;	102.0000	;	36.0000	;	0.125
5	;	134.0000	;	32.0000	;	0.755
6	;	100.0000	;	36.0000	;	0.888
7	;	98.0000	;	10.0000	;	0.716
8	;	118.0000	;	90.0000	;	0.621
9	;	112.0000	;	132.0000	;	0.524
10	;	112.0000	;	172.0000	;	0.277
11	;	126.0000	;	92.0000	;	0.730
12	;	112.0000	;	132.0000	;	0.680
13	;	112.0000	;	172.0000	;	0.366
14	;	128.0000	;	8.0000	;	0.408
15	;	132.0000	;	10.0000	;	0.892
17	;	142.0000	;	16.0000	;	0.800
