ID	;	x	;	y	;	score
0	;	170.0000	;	30.0000	;	0.899
1	;	176.0000	;	46.0000	;	0.724
2	;	168.0000	;	44.0000	;	0.750
3	;	148.0000	;	46.0000	;	0.543
4	;	152.0000	;	32.0000	;	0.526
5	;	180.0000	;	48.0000	;	0.730
6	;	156.0000	;	48.0000	;	0.556
7	;	154.0000	;	32.0000	;	0.559
8	;	166.0000	;	86.0000	;	0.729
9	;	160.0000	;	118.0000	;	0.690
10	;	160.0000	;	146.0000	;	0.620
11	;	172.0000	;	88.0000	;	0.767
12	;	158.0000	;	118.0000	;	0.790
13	;	160.0000	;	148.0000	;	0.658
14	;	170.0000	;	28.0000	;	0.884
15	;	174.0000	;	28.0000	;	0.849
17	;	182.0000	;	32.0000	;	0.769
