ID	;	x	;	y	;	score
0	;	200.0000	;	26.0000	;	0.843
1	;	192.0000	;	38.0000	;	0.719
2	;	194.0000	;	38.0000	;	0.824
3	;	212.0000	;	38.0000	;	0.847
4	;	220.0000	;	24.0000	;	0.552
5	;	188.0000	;	40.0000	;	0.650
6	;	204.0000	;	36.0000	;	0.159
8	;	196.0000	;	74.0000	;	0.842
9	;	204.0000	;	104.0000	;	0.811
10	;	204.0000	;	138.0000	;	0.728
11	;	190.0000	;	74.0000	;	0.710
12	;	202.0000	;	102.0000	;	0.754
13	;	204.0000	;	136.0000	;	0.702
14	;	196.0000	;	24.0000	;	0.848
15	;	200.0000	;	24.0000	;	0.583
16	;	190.0000	;	26.0000	;	0.895
