ID	;	x	;	y	;	score
0	;	168.0000	;	32.0000	;	0.796
1	;	174.0000	;	44.0000	;	0.814
2	;	168.0000	;	42.0000	;	0.739
3	;	148.0000	;	44.0000	;	0.558
4	;	152.0000	;	32.0000	;	0.580
5	;	180.0000	;	46.0000	;	0.856
6	;	160.0000	;	48.0000	;	0.577
7	;	156.0000	;	34.0000	;	0.606
8	;	164.0000	;	86.0000	;	0.795
9	;	158.0000	;	118.0000	;	0.660
10	;	162.0000	;	146.0000	;	0.605
11	;	172.0000	;	86.0000	;	0.829
12	;	158.0000	;	118.0000	;	0.812
13	;	158.0000	;	148.0000	;	0.607
14	;	168.0000	;	28.0000	;	0.800
15	;	172.0000	;	28.0000	;	0.938
17	;	180.0000	;	32.0000	;	0.844
