ID	;	x	;	y	;	score
0	;	92.0000	;	20.0000	;	0.574
1	;	92.0000	;	38.0000	;	0.771
2	;	96.0000	;	38.0000	;	0.701
3	;	72.0000	;	38.0000	;	0.250
4	;	68.0000	;	24.0000	;	0.273
5	;	90.0000	;	36.0000	;	0.879
6	;	62.0000	;	40.0000	;	0.715
7	;	66.0000	;	20.0000	;	0.814
8	;	82.0000	;	84.0000	;	0.647
9	;	72.0000	;	124.0000	;	0.575
10	;	72.0000	;	160.0000	;	0.425
11	;	80.0000	;	86.0000	;	0.736
12	;	70.0000	;	124.0000	;	0.814
13	;	72.0000	;	162.0000	;	0.652
15	;	94.0000	;	18.0000	;	0.588
17	;	98.0000	;	24.0000	;	0.709
