ID	;	x	;	y	;	score
0	;	63000.0000	;	6075.0000	;	0.516
1	;	59400.0000	;	8100.0000	;	0.806
2	;	60300.0000	;	7846.8750	;	0.867
3	;	67500.0000	;	7593.7500	;	0.908
4	;	68400.0000	;	4809.3750	;	0.678
5	;	57600.0000	;	8353.1250	;	0.556
8	;	60750.0000	;	15187.5000	;	0.662
9	;	63000.0000	;	21515.6250	;	0.789
10	;	63900.0000	;	27084.3750	;	0.443
11	;	58050.0000	;	15187.5000	;	0.624
12	;	63900.0000	;	21262.5000	;	0.522
13	;	64350.0000	;	27843.7500	;	0.682
14	;	62100.0000	;	5821.8750	;	0.572
16	;	60300.0000	;	6075.0000	;	0.551
