ID	;	x	;	y	;	score
0	;	132.0000	;	26.0000	;	0.909
1	;	138.0000	;	48.0000	;	0.642
2	;	140.0000	;	48.0000	;	0.581
3	;	104.0000	;	56.0000	;	0.243
4	;	104.0000	;	36.0000	;	0.199
5	;	136.0000	;	46.0000	;	0.742
6	;	104.0000	;	50.0000	;	0.714
7	;	102.0000	;	30.0000	;	0.630
8	;	118.0000	;	100.0000	;	0.511
9	;	100.0000	;	150.0000	;	0.638
10	;	100.0000	;	198.0000	;	0.656
11	;	116.0000	;	100.0000	;	0.764
12	;	114.0000	;	150.0000	;	0.799
13	;	122.0000	;	200.0000	;	0.873
15	;	136.0000	;	26.0000	;	0.856
17	;	144.0000	;	32.0000	;	0.734
