ID	;	x	;	y	;	score
0	;	188.0000	;	34.0000	;	0.932
1	;	186.0000	;	46.0000	;	0.820
2	;	184.0000	;	46.0000	;	0.738
3	;	202.0000	;	46.0000	;	0.889
4	;	206.0000	;	32.0000	;	0.532
5	;	188.0000	;	46.0000	;	0.684
6	;	202.0000	;	46.0000	;	0.193
7	;	202.0000	;	38.0000	;	0.238
8	;	184.0000	;	82.0000	;	0.721
9	;	192.0000	;	110.0000	;	0.793
10	;	194.0000	;	144.0000	;	0.820
11	;	188.0000	;	82.0000	;	0.666
12	;	192.0000	;	110.0000	;	0.758
13	;	194.0000	;	142.0000	;	0.657
14	;	186.0000	;	32.0000	;	0.830
15	;	188.0000	;	32.0000	;	0.754
16	;	180.0000	;	36.0000	;	0.944
