ID	;	x	;	y	;	score
0	;	104.0000	;	28.0000	;	0.507
1	;	114.0000	;	40.0000	;	0.709
2	;	114.0000	;	36.0000	;	0.571
3	;	92.0000	;	40.0000	;	0.315
4	;	88.0000	;	28.0000	;	0.616
5	;	116.0000	;	44.0000	;	0.787
6	;	88.0000	;	48.0000	;	0.621
7	;	88.0000	;	28.0000	;	0.608
8	;	112.0000	;	82.0000	;	0.510
9	;	104.0000	;	112.0000	;	0.463
10	;	102.0000	;	138.0000	;	0.223
11	;	116.0000	;	84.0000	;	0.774
12	;	104.0000	;	114.0000	;	0.554
13	;	100.0000	;	146.0000	;	0.248
14	;	104.0000	;	24.0000	;	0.181
15	;	106.0000	;	24.0000	;	0.530
17	;	114.0000	;	24.0000	;	0.705
