ID	;	x	;	y	;	score
0	;	222.0000	;	32.0000	;	0.665
1	;	226.0000	;	52.0000	;	0.712
2	;	224.0000	;	54.0000	;	0.711
3	;	254.0000	;	56.0000	;	0.704
4	;	256.0000	;	36.0000	;	0.701
5	;	226.0000	;	50.0000	;	0.561
6	;	250.0000	;	52.0000	;	0.142
7	;	254.0000	;	36.0000	;	0.245
8	;	234.0000	;	100.0000	;	0.731
9	;	242.0000	;	138.0000	;	0.703
10	;	240.0000	;	170.0000	;	0.379
11	;	242.0000	;	98.0000	;	0.599
12	;	246.0000	;	138.0000	;	0.515
13	;	242.0000	;	170.0000	;	0.301
14	;	218.0000	;	32.0000	;	0.730
15	;	222.0000	;	28.0000	;	0.727
16	;	212.0000	;	38.0000	;	0.764
