ID	;	x	;	y	;	score
0	;	188.0000	;	36.0000	;	0.982
1	;	186.0000	;	48.0000	;	0.774
2	;	182.0000	;	46.0000	;	0.781
3	;	202.0000	;	46.0000	;	0.768
4	;	206.0000	;	36.0000	;	0.410
5	;	192.0000	;	46.0000	;	0.725
6	;	204.0000	;	48.0000	;	0.312
7	;	206.0000	;	40.0000	;	0.248
8	;	182.0000	;	84.0000	;	0.784
9	;	192.0000	;	114.0000	;	0.699
10	;	194.0000	;	144.0000	;	0.808
11	;	190.0000	;	84.0000	;	0.735
12	;	194.0000	;	114.0000	;	0.717
13	;	196.0000	;	142.0000	;	0.696
14	;	186.0000	;	34.0000	;	0.907
15	;	190.0000	;	34.0000	;	0.872
16	;	182.0000	;	36.0000	;	0.777
17	;	192.0000	;	34.0000	;	0.504
