ID	;	x	;	y	;	score
0	;	164.0000	;	34.0000	;	0.800
1	;	176.0000	;	44.0000	;	0.707
2	;	172.0000	;	44.0000	;	0.705
3	;	154.0000	;	48.0000	;	0.340
4	;	150.0000	;	34.0000	;	0.339
5	;	180.0000	;	44.0000	;	0.829
6	;	160.0000	;	48.0000	;	0.458
7	;	156.0000	;	34.0000	;	0.574
8	;	164.0000	;	84.0000	;	0.726
9	;	158.0000	;	116.0000	;	0.609
10	;	162.0000	;	144.0000	;	0.626
11	;	172.0000	;	84.0000	;	0.830
12	;	158.0000	;	116.0000	;	0.766
13	;	160.0000	;	146.0000	;	0.632
15	;	166.0000	;	30.0000	;	0.812
17	;	174.0000	;	28.0000	;	0.858
