ID	;	x	;	y	;	score
0	;	114.0000	;	10.0000	;	0.929
1	;	118.0000	;	30.0000	;	0.768
2	;	118.0000	;	28.0000	;	0.498
3	;	96.0000	;	36.0000	;	0.216
4	;	86.0000	;	30.0000	;	0.422
5	;	116.0000	;	30.0000	;	0.782
6	;	90.0000	;	36.0000	;	0.716
7	;	82.0000	;	28.0000	;	0.571
8	;	112.0000	;	88.0000	;	0.519
9	;	102.0000	;	132.0000	;	0.609
10	;	98.0000	;	170.0000	;	0.343
11	;	110.0000	;	88.0000	;	0.664
12	;	100.0000	;	134.0000	;	0.777
13	;	98.0000	;	170.0000	;	0.375
14	;	114.0000	;	8.0000	;	0.681
15	;	120.0000	;	10.0000	;	0.819
17	;	126.0000	;	16.0000	;	0.752
