ID	;	x	;	y	;	score
0	;	250.0000	;	14.0000	;	0.827
1	;	242.0000	;	42.0000	;	0.695
2	;	238.0000	;	42.0000	;	0.792
3	;	284.0000	;	44.0000	;	0.845
4	;	288.0000	;	16.0000	;	0.616
5	;	244.0000	;	40.0000	;	0.494
6	;	280.0000	;	44.0000	;	0.089
8	;	236.0000	;	114.0000	;	0.683
9	;	260.0000	;	170.0000	;	0.793
10	;	262.0000	;	228.0000	;	0.561
11	;	246.0000	;	112.0000	;	0.528
12	;	264.0000	;	168.0000	;	0.562
13	;	266.0000	;	224.0000	;	0.210
14	;	242.0000	;	12.0000	;	0.936
15	;	250.0000	;	10.0000	;	0.773
16	;	232.0000	;	20.0000	;	0.849
