ID	;	x	;	y	;	score
0	;	184.0000	;	20.0000	;	0.739
1	;	172.0000	;	38.0000	;	0.777
2	;	176.0000	;	36.0000	;	0.694
3	;	198.0000	;	30.0000	;	0.775
4	;	200.0000	;	12.0000	;	0.529
5	;	164.0000	;	40.0000	;	0.647
6	;	194.0000	;	32.0000	;	0.157
7	;	194.0000	;	26.0000	;	0.166
8	;	178.0000	;	84.0000	;	0.753
9	;	188.0000	;	118.0000	;	0.816
10	;	190.0000	;	156.0000	;	0.711
11	;	172.0000	;	84.0000	;	0.677
12	;	186.0000	;	118.0000	;	0.664
13	;	190.0000	;	152.0000	;	0.502
14	;	180.0000	;	18.0000	;	0.838
16	;	174.0000	;	20.0000	;	0.934
