ID	;	x	;	y	;	score
0	;	88.0000	;	18.0000	;	0.717
1	;	94.0000	;	38.0000	;	0.766
2	;	98.0000	;	38.0000	;	0.691
3	;	74.0000	;	38.0000	;	0.230
4	;	72.0000	;	26.0000	;	0.225
5	;	90.0000	;	36.0000	;	0.899
6	;	62.0000	;	40.0000	;	0.684
7	;	68.0000	;	20.0000	;	0.660
8	;	82.0000	;	84.0000	;	0.656
9	;	72.0000	;	124.0000	;	0.607
10	;	72.0000	;	160.0000	;	0.493
11	;	80.0000	;	84.0000	;	0.702
12	;	70.0000	;	124.0000	;	0.768
13	;	72.0000	;	162.0000	;	0.621
15	;	92.0000	;	18.0000	;	0.730
17	;	98.0000	;	24.0000	;	0.759
