ID	;	x	;	y	;	score
0	;	222.0000	;	32.0000	;	0.685
1	;	226.0000	;	50.0000	;	0.712
2	;	224.0000	;	52.0000	;	0.749
3	;	254.0000	;	56.0000	;	0.691
4	;	258.0000	;	36.0000	;	0.749
5	;	226.0000	;	48.0000	;	0.534
6	;	248.0000	;	50.0000	;	0.116
7	;	254.0000	;	36.0000	;	0.243
8	;	236.0000	;	100.0000	;	0.746
9	;	242.0000	;	140.0000	;	0.790
10	;	240.0000	;	172.0000	;	0.486
11	;	242.0000	;	98.0000	;	0.634
12	;	246.0000	;	138.0000	;	0.536
13	;	244.0000	;	170.0000	;	0.324
14	;	218.0000	;	32.0000	;	0.751
15	;	222.0000	;	28.0000	;	0.715
16	;	212.0000	;	40.0000	;	0.757
