ID	;	x	;	y	;	score
0	;	166.0000	;	34.0000	;	0.798
1	;	176.0000	;	46.0000	;	0.706
2	;	172.0000	;	46.0000	;	0.732
3	;	154.0000	;	48.0000	;	0.319
4	;	152.0000	;	32.0000	;	0.412
5	;	180.0000	;	46.0000	;	0.785
6	;	156.0000	;	48.0000	;	0.622
7	;	154.0000	;	32.0000	;	0.570
8	;	166.0000	;	86.0000	;	0.702
9	;	160.0000	;	118.0000	;	0.710
10	;	162.0000	;	148.0000	;	0.714
11	;	172.0000	;	88.0000	;	0.788
12	;	156.0000	;	118.0000	;	0.850
13	;	158.0000	;	148.0000	;	0.647
14	;	166.0000	;	32.0000	;	0.166
15	;	170.0000	;	30.0000	;	0.847
17	;	178.0000	;	32.0000	;	0.829
