ID	;	x	;	y	;	score
0	;	130.0000	;	24.0000	;	0.801
1	;	132.0000	;	44.0000	;	0.833
2	;	134.0000	;	44.0000	;	0.528
3	;	112.0000	;	54.0000	;	0.115
4	;	110.0000	;	38.0000	;	0.138
5	;	126.0000	;	44.0000	;	0.733
6	;	104.0000	;	44.0000	;	0.853
7	;	104.0000	;	28.0000	;	0.819
8	;	130.0000	;	90.0000	;	0.607
9	;	108.0000	;	124.0000	;	0.677
10	;	106.0000	;	156.0000	;	0.449
11	;	124.0000	;	90.0000	;	0.814
12	;	116.0000	;	128.0000	;	0.810
13	;	112.0000	;	160.0000	;	0.740
14	;	130.0000	;	20.0000	;	0.923
15	;	136.0000	;	24.0000	;	0.727
17	;	142.0000	;	28.0000	;	0.844
