ID	;	x	;	y	;	score
0	;	174.0000	;	20.0000	;	0.847
1	;	182.0000	;	38.0000	;	0.688
2	;	186.0000	;	38.0000	;	0.703
3	;	164.0000	;	42.0000	;	0.096
4	;	160.0000	;	28.0000	;	0.133
5	;	180.0000	;	38.0000	;	0.832
6	;	154.0000	;	40.0000	;	0.805
7	;	156.0000	;	22.0000	;	0.829
8	;	180.0000	;	82.0000	;	0.663
9	;	170.0000	;	116.0000	;	0.665
10	;	170.0000	;	148.0000	;	0.489
11	;	174.0000	;	82.0000	;	0.749
12	;	164.0000	;	116.0000	;	0.824
13	;	166.0000	;	152.0000	;	0.641
15	;	178.0000	;	18.0000	;	0.920
17	;	184.0000	;	22.0000	;	0.866
