ID	;	x	;	y	;	score
0	;	102.0000	;	52.0000	;	0.769
1	;	114.0000	;	64.0000	;	0.691
2	;	118.0000	;	64.0000	;	0.581
3	;	96.0000	;	68.0000	;	0.181
4	;	92.0000	;	58.0000	;	0.316
5	;	112.0000	;	64.0000	;	0.706
6	;	88.0000	;	66.0000	;	0.830
7	;	88.0000	;	52.0000	;	0.720
8	;	112.0000	;	104.0000	;	0.593
9	;	100.0000	;	134.0000	;	0.682
10	;	100.0000	;	166.0000	;	0.553
11	;	108.0000	;	104.0000	;	0.798
12	;	100.0000	;	136.0000	;	0.907
13	;	100.0000	;	168.0000	;	0.849
15	;	104.0000	;	50.0000	;	0.773
17	;	112.0000	;	50.0000	;	0.881
