ID	;	x	;	y	;	score
0	;	82.0000	;	32.0000	;	0.890
1	;	96.0000	;	52.0000	;	0.719
2	;	88.0000	;	52.0000	;	0.581
3	;	76.0000	;	80.0000	;	0.230
4	;	72.0000	;	106.0000	;	0.261
5	;	104.0000	;	50.0000	;	0.833
6	;	64.0000	;	54.0000	;	0.842
7	;	66.0000	;	32.0000	;	0.668
8	;	84.0000	;	110.0000	;	0.690
9	;	84.0000	;	156.0000	;	0.626
10	;	78.0000	;	200.0000	;	0.464
11	;	96.0000	;	112.0000	;	0.668
12	;	80.0000	;	156.0000	;	0.745
13	;	76.0000	;	202.0000	;	0.804
14	;	82.0000	;	30.0000	;	0.224
15	;	86.0000	;	28.0000	;	0.813
17	;	100.0000	;	30.0000	;	0.858
