ID	;	x	;	y	;	score
0	;	168.0000	;	10.0000	;	0.837
1	;	176.0000	;	32.0000	;	0.662
2	;	172.0000	;	30.0000	;	0.621
3	;	154.0000	;	44.0000	;	0.347
4	;	152.0000	;	28.0000	;	0.399
5	;	178.0000	;	34.0000	;	0.905
6	;	152.0000	;	44.0000	;	0.904
7	;	152.0000	;	26.0000	;	0.641
8	;	168.0000	;	82.0000	;	0.582
9	;	166.0000	;	120.0000	;	0.535
10	;	174.0000	;	160.0000	;	0.471
11	;	174.0000	;	82.0000	;	0.757
12	;	164.0000	;	120.0000	;	0.801
13	;	168.0000	;	160.0000	;	0.680
15	;	172.0000	;	10.0000	;	0.890
17	;	180.0000	;	14.0000	;	0.903
