ID	;	x	;	y	;	score
0	;	222.0000	;	32.0000	;	0.736
1	;	224.0000	;	50.0000	;	0.689
2	;	224.0000	;	52.0000	;	0.709
3	;	254.0000	;	56.0000	;	0.679
4	;	256.0000	;	34.0000	;	0.639
5	;	226.0000	;	48.0000	;	0.544
6	;	248.0000	;	50.0000	;	0.111
7	;	254.0000	;	32.0000	;	0.225
8	;	234.0000	;	100.0000	;	0.753
9	;	242.0000	;	140.0000	;	0.811
10	;	240.0000	;	172.0000	;	0.457
11	;	242.0000	;	98.0000	;	0.603
12	;	246.0000	;	140.0000	;	0.594
13	;	246.0000	;	170.0000	;	0.263
14	;	216.0000	;	32.0000	;	0.741
15	;	222.0000	;	28.0000	;	0.834
16	;	212.0000	;	38.0000	;	0.841
