ID	;	x	;	y	;	score
0	;	128.0000	;	8.0000	;	0.742
1	;	134.0000	;	26.0000	;	0.769
2	;	134.0000	;	24.0000	;	0.499
3	;	106.0000	;	30.0000	;	0.111
5	;	132.0000	;	26.0000	;	0.870
6	;	98.0000	;	30.0000	;	0.841
7	;	98.0000	;	8.0000	;	0.541
8	;	120.0000	;	84.0000	;	0.560
9	;	116.0000	;	128.0000	;	0.512
10	;	116.0000	;	172.0000	;	0.373
11	;	126.0000	;	86.0000	;	0.726
12	;	116.0000	;	128.0000	;	0.869
13	;	116.0000	;	172.0000	;	0.627
14	;	130.0000	;	6.0000	;	0.501
15	;	134.0000	;	8.0000	;	0.663
17	;	142.0000	;	12.0000	;	0.906
