ID	;	x	;	y	;	score
0	;	136.0000	;	18.0000	;	0.880
1	;	140.0000	;	38.0000	;	0.697
2	;	136.0000	;	38.0000	;	0.479
3	;	106.0000	;	42.0000	;	0.282
5	;	142.0000	;	40.0000	;	0.701
6	;	106.0000	;	40.0000	;	0.740
7	;	106.0000	;	18.0000	;	0.541
8	;	132.0000	;	92.0000	;	0.544
9	;	124.0000	;	138.0000	;	0.522
10	;	116.0000	;	170.0000	;	0.173
11	;	134.0000	;	94.0000	;	0.669
12	;	124.0000	;	138.0000	;	0.662
13	;	118.0000	;	172.0000	;	0.318
14	;	136.0000	;	16.0000	;	0.695
15	;	142.0000	;	18.0000	;	0.912
17	;	148.0000	;	24.0000	;	0.835
