ID	;	x	;	y	;	score
0	;	92.0000	;	20.0000	;	0.522
1	;	94.0000	;	38.0000	;	0.702
2	;	98.0000	;	38.0000	;	0.680
3	;	74.0000	;	40.0000	;	0.174
4	;	70.0000	;	28.0000	;	0.184
5	;	90.0000	;	36.0000	;	0.863
6	;	62.0000	;	40.0000	;	0.677
7	;	64.0000	;	20.0000	;	0.764
8	;	82.0000	;	84.0000	;	0.652
9	;	70.0000	;	124.0000	;	0.549
10	;	72.0000	;	160.0000	;	0.467
11	;	80.0000	;	86.0000	;	0.714
12	;	68.0000	;	124.0000	;	0.837
13	;	72.0000	;	162.0000	;	0.634
15	;	94.0000	;	20.0000	;	0.576
17	;	98.0000	;	24.0000	;	0.777
