ID	;	x	;	y	;	score
0	;	174.0000	;	38.0000	;	0.854
1	;	168.0000	;	48.0000	;	0.685
2	;	162.0000	;	46.0000	;	0.821
3	;	182.0000	;	46.0000	;	0.443
4	;	186.0000	;	38.0000	;	0.342
5	;	174.0000	;	48.0000	;	0.600
6	;	190.0000	;	44.0000	;	0.385
8	;	150.0000	;	86.0000	;	0.746
9	;	164.0000	;	116.0000	;	0.800
10	;	180.0000	;	150.0000	;	0.812
11	;	164.0000	;	82.0000	;	0.643
12	;	184.0000	;	72.0000	;	0.669
13	;	180.0000	;	108.0000	;	0.788
14	;	172.0000	;	36.0000	;	0.993
15	;	176.0000	;	34.0000	;	0.846
16	;	166.0000	;	36.0000	;	1.004
