ID	;	x	;	y	;	score
0	;	96.0000	;	12.0000	;	0.920
1	;	110.0000	;	30.0000	;	0.695
2	;	106.0000	;	30.0000	;	0.548
3	;	86.0000	;	42.0000	;	0.368
4	;	78.0000	;	28.0000	;	0.589
5	;	112.0000	;	30.0000	;	0.742
6	;	84.0000	;	38.0000	;	0.695
7	;	78.0000	;	24.0000	;	0.551
8	;	104.0000	;	84.0000	;	0.602
9	;	90.0000	;	130.0000	;	0.526
10	;	88.0000	;	170.0000	;	0.269
11	;	104.0000	;	86.0000	;	0.736
12	;	90.0000	;	130.0000	;	0.745
13	;	90.0000	;	170.0000	;	0.424
14	;	96.0000	;	10.0000	;	0.578
15	;	102.0000	;	8.0000	;	0.804
17	;	114.0000	;	10.0000	;	0.931
