ID	;	x	;	y	;	score
0	;	150.0000	;	52.0000	;	0.655
1	;	152.0000	;	66.0000	;	0.733
2	;	148.0000	;	64.0000	;	0.632
3	;	130.0000	;	70.0000	;	0.330
4	;	128.0000	;	58.0000	;	0.218
5	;	154.0000	;	68.0000	;	0.879
6	;	128.0000	;	74.0000	;	0.643
7	;	122.0000	;	60.0000	;	0.343
8	;	142.0000	;	108.0000	;	0.592
9	;	140.0000	;	142.0000	;	0.615
10	;	138.0000	;	170.0000	;	0.286
11	;	148.0000	;	110.0000	;	0.800
12	;	140.0000	;	142.0000	;	0.835
13	;	138.0000	;	170.0000	;	0.365
14	;	150.0000	;	50.0000	;	0.230
15	;	152.0000	;	52.0000	;	0.671
17	;	158.0000	;	54.0000	;	0.663
