ID	;	x	;	y	;	score
0	;	88.0000	;	22.0000	;	0.560
1	;	94.0000	;	38.0000	;	0.724
2	;	98.0000	;	38.0000	;	0.665
3	;	74.0000	;	40.0000	;	0.162
4	;	70.0000	;	28.0000	;	0.255
5	;	90.0000	;	36.0000	;	0.893
6	;	64.0000	;	40.0000	;	0.634
7	;	64.0000	;	24.0000	;	0.565
8	;	84.0000	;	84.0000	;	0.622
9	;	72.0000	;	124.0000	;	0.623
10	;	72.0000	;	162.0000	;	0.499
11	;	82.0000	;	84.0000	;	0.812
12	;	70.0000	;	124.0000	;	0.816
13	;	72.0000	;	164.0000	;	0.599
15	;	90.0000	;	20.0000	;	0.729
17	;	96.0000	;	24.0000	;	0.787
