ID	;	x	;	y	;	score
0	;	82.0000	;	34.0000	;	0.923
1	;	96.0000	;	54.0000	;	0.738
2	;	88.0000	;	54.0000	;	0.614
3	;	76.0000	;	80.0000	;	0.324
4	;	72.0000	;	106.0000	;	0.267
5	;	102.0000	;	54.0000	;	0.773
6	;	64.0000	;	54.0000	;	0.805
7	;	64.0000	;	36.0000	;	0.841
8	;	86.0000	;	112.0000	;	0.628
9	;	84.0000	;	158.0000	;	0.569
10	;	78.0000	;	200.0000	;	0.431
11	;	98.0000	;	112.0000	;	0.713
12	;	82.0000	;	158.0000	;	0.766
13	;	74.0000	;	204.0000	;	0.784
14	;	80.0000	;	30.0000	;	0.257
15	;	86.0000	;	30.0000	;	0.818
17	;	100.0000	;	32.0000	;	0.915
