ID	;	x	;	y	;	score
0	;	134.0000	;	18.0000	;	0.820
1	;	138.0000	;	40.0000	;	0.663
2	;	136.0000	;	38.0000	;	0.447
3	;	106.0000	;	40.0000	;	0.309
4	;	104.0000	;	24.0000	;	0.112
5	;	142.0000	;	40.0000	;	0.687
6	;	106.0000	;	40.0000	;	0.721
7	;	104.0000	;	16.0000	;	0.554
8	;	130.0000	;	92.0000	;	0.516
9	;	122.0000	;	136.0000	;	0.612
10	;	114.0000	;	170.0000	;	0.262
11	;	130.0000	;	94.0000	;	0.696
12	;	122.0000	;	136.0000	;	0.750
13	;	118.0000	;	170.0000	;	0.258
14	;	134.0000	;	14.0000	;	0.777
15	;	140.0000	;	16.0000	;	0.881
17	;	148.0000	;	24.0000	;	0.826
