ID	;	x	;	y	;	score
0	;	86.0000	;	22.0000	;	0.672
1	;	92.0000	;	38.0000	;	0.791
2	;	96.0000	;	38.0000	;	0.671
3	;	72.0000	;	40.0000	;	0.167
4	;	68.0000	;	28.0000	;	0.259
5	;	90.0000	;	38.0000	;	0.852
6	;	62.0000	;	40.0000	;	0.738
7	;	64.0000	;	24.0000	;	0.526
8	;	82.0000	;	84.0000	;	0.620
9	;	70.0000	;	124.0000	;	0.580
10	;	72.0000	;	162.0000	;	0.462
11	;	82.0000	;	86.0000	;	0.814
12	;	70.0000	;	126.0000	;	0.860
13	;	74.0000	;	164.0000	;	0.666
14	;	88.0000	;	20.0000	;	0.238
15	;	90.0000	;	20.0000	;	0.793
17	;	96.0000	;	24.0000	;	0.780
