ID	;	x	;	y	;	score
0	;	208.0000	;	26.0000	;	0.835
1	;	200.0000	;	38.0000	;	0.734
2	;	198.0000	;	36.0000	;	0.817
3	;	218.0000	;	40.0000	;	0.768
4	;	220.0000	;	30.0000	;	0.762
5	;	202.0000	;	38.0000	;	0.688
6	;	218.0000	;	42.0000	;	0.276
7	;	220.0000	;	32.0000	;	0.356
8	;	196.0000	;	76.0000	;	0.841
9	;	210.0000	;	106.0000	;	0.753
10	;	212.0000	;	136.0000	;	0.727
11	;	200.0000	;	76.0000	;	0.694
12	;	208.0000	;	106.0000	;	0.645
13	;	210.0000	;	132.0000	;	0.545
14	;	206.0000	;	24.0000	;	0.751
15	;	210.0000	;	24.0000	;	0.403
16	;	200.0000	;	24.0000	;	0.794
