ID	;	x	;	y	;	score
0	;	120.0000	;	36.0000	;	0.803
1	;	128.0000	;	48.0000	;	0.666
2	;	132.0000	;	48.0000	;	0.642
3	;	114.0000	;	50.0000	;	0.113
4	;	114.0000	;	42.0000	;	0.150
5	;	124.0000	;	48.0000	;	0.746
6	;	108.0000	;	48.0000	;	0.738
7	;	106.0000	;	40.0000	;	0.528
8	;	132.0000	;	82.0000	;	0.709
9	;	120.0000	;	106.0000	;	0.600
10	;	118.0000	;	132.0000	;	0.566
11	;	126.0000	;	82.0000	;	0.739
12	;	118.0000	;	106.0000	;	0.791
13	;	116.0000	;	134.0000	;	0.865
14	;	120.0000	;	34.0000	;	0.273
15	;	122.0000	;	34.0000	;	0.862
17	;	128.0000	;	36.0000	;	0.814
