ID	;	x	;	y	;	score
0	;	142.0000	;	8.0000	;	0.713
1	;	146.0000	;	18.0000	;	0.726
2	;	140.0000	;	16.0000	;	0.578
3	;	124.0000	;	24.0000	;	0.217
4	;	124.0000	;	12.0000	;	0.249
5	;	152.0000	;	20.0000	;	0.790
6	;	124.0000	;	26.0000	;	0.873
7	;	124.0000	;	10.0000	;	0.763
8	;	138.0000	;	72.0000	;	0.584
9	;	136.0000	;	116.0000	;	0.449
10	;	142.0000	;	154.0000	;	0.220
11	;	146.0000	;	74.0000	;	0.684
12	;	128.0000	;	114.0000	;	0.661
13	;	130.0000	;	154.0000	;	0.625
14	;	140.0000	;	6.0000	;	0.762
15	;	146.0000	;	6.0000	;	0.905
17	;	154.0000	;	8.0000	;	0.795
