ID	;	x	;	y	;	score
0	;	61650.0000	;	5568.7500	;	0.758
1	;	59400.0000	;	8100.0000	;	0.823
2	;	59850.0000	;	7846.8750	;	0.857
3	;	67050.0000	;	7846.8750	;	0.710
4	;	67950.0000	;	4303.1250	;	0.489
5	;	57600.0000	;	8606.2500	;	0.510
8	;	60300.0000	;	15187.5000	;	0.619
9	;	63450.0000	;	21515.6250	;	0.812
10	;	63900.0000	;	27843.7500	;	0.644
11	;	58500.0000	;	15187.5000	;	0.568
12	;	63900.0000	;	21515.6250	;	0.677
13	;	64800.0000	;	27337.5000	;	0.481
14	;	60750.0000	;	5315.6250	;	0.822
15	;	61650.0000	;	5062.5000	;	0.626
16	;	58950.0000	;	5821.8750	;	0.747
