ID	;	x	;	y	;	score
0	;	86.0000	;	22.0000	;	0.776
1	;	98.0000	;	40.0000	;	0.647
2	;	94.0000	;	38.0000	;	0.530
3	;	72.0000	;	54.0000	;	0.062
5	;	100.0000	;	40.0000	;	0.819
6	;	64.0000	;	44.0000	;	0.851
7	;	66.0000	;	24.0000	;	0.744
8	;	84.0000	;	92.0000	;	0.688
9	;	82.0000	;	136.0000	;	0.553
10	;	76.0000	;	180.0000	;	0.388
11	;	96.0000	;	94.0000	;	0.657
12	;	82.0000	;	138.0000	;	0.786
13	;	76.0000	;	184.0000	;	0.737
14	;	86.0000	;	20.0000	;	0.317
15	;	90.0000	;	20.0000	;	0.950
17	;	102.0000	;	22.0000	;	0.822
