ID	;	x	;	y	;	score
0	;	164.0000	;	28.0000	;	0.687
1	;	176.0000	;	38.0000	;	0.662
2	;	172.0000	;	38.0000	;	0.631
3	;	154.0000	;	42.0000	;	0.327
4	;	156.0000	;	30.0000	;	0.220
5	;	180.0000	;	38.0000	;	0.746
6	;	154.0000	;	42.0000	;	0.724
7	;	154.0000	;	26.0000	;	0.717
8	;	166.0000	;	78.0000	;	0.665
9	;	162.0000	;	114.0000	;	0.674
10	;	162.0000	;	146.0000	;	0.682
11	;	170.0000	;	80.0000	;	0.782
12	;	156.0000	;	114.0000	;	0.724
13	;	158.0000	;	146.0000	;	0.680
15	;	166.0000	;	24.0000	;	0.689
17	;	174.0000	;	24.0000	;	0.821
