ID	;	x	;	y	;	score
0	;	180.0000	;	54.0000	;	0.857
1	;	186.0000	;	74.0000	;	0.806
2	;	184.0000	;	72.0000	;	0.521
3	;	158.0000	;	78.0000	;	0.100
5	;	186.0000	;	76.0000	;	0.848
6	;	152.0000	;	80.0000	;	0.808
7	;	148.0000	;	54.0000	;	0.646
8	;	180.0000	;	132.0000	;	0.670
9	;	156.0000	;	142.0000	;	0.831
10	;	164.0000	;	182.0000	;	0.750
11	;	192.0000	;	134.0000	;	0.627
12	;	174.0000	;	174.0000	;	0.754
13	;	168.0000	;	214.0000	;	0.777
14	;	180.0000	;	50.0000	;	0.872
15	;	186.0000	;	52.0000	;	0.907
17	;	194.0000	;	58.0000	;	1.028
