ID	;	x	;	y	;	score
0	;	134.0000	;	6.0000	;	0.806
1	;	142.0000	;	24.0000	;	0.596
2	;	138.0000	;	26.0000	;	0.844
3	;	170.0000	;	32.0000	;	0.765
4	;	174.0000	;	12.0000	;	0.656
5	;	148.0000	;	18.0000	;	0.505
6	;	170.0000	;	20.0000	;	0.170
7	;	172.0000	;	12.0000	;	0.413
8	;	156.0000	;	88.0000	;	0.696
9	;	164.0000	;	136.0000	;	0.784
10	;	160.0000	;	172.0000	;	0.390
11	;	158.0000	;	86.0000	;	0.535
12	;	164.0000	;	136.0000	;	0.651
13	;	158.0000	;	172.0000	;	0.304
14	;	128.0000	;	6.0000	;	0.762
15	;	134.0000	;	4.0000	;	0.449
16	;	124.0000	;	12.0000	;	0.921
