ID	;	x	;	y	;	score
0	;	168.0000	;	28.0000	;	0.810
1	;	178.0000	;	44.0000	;	0.712
2	;	174.0000	;	42.0000	;	0.611
3	;	156.0000	;	48.0000	;	0.313
4	;	154.0000	;	32.0000	;	0.459
5	;	180.0000	;	44.0000	;	0.803
6	;	158.0000	;	50.0000	;	0.451
7	;	154.0000	;	34.0000	;	0.529
8	;	166.0000	;	82.0000	;	0.612
9	;	158.0000	;	114.0000	;	0.554
10	;	162.0000	;	144.0000	;	0.631
11	;	170.0000	;	84.0000	;	0.821
12	;	156.0000	;	114.0000	;	0.735
13	;	158.0000	;	144.0000	;	0.751
15	;	170.0000	;	26.0000	;	0.926
17	;	178.0000	;	28.0000	;	0.966
