ID	;	x	;	y	;	score
0	;	176.0000	;	48.0000	;	0.781
1	;	170.0000	;	60.0000	;	0.805
2	;	170.0000	;	58.0000	;	0.744
3	;	190.0000	;	42.0000	;	0.804
4	;	190.0000	;	20.0000	;	0.678
5	;	172.0000	;	60.0000	;	0.662
6	;	186.0000	;	44.0000	;	0.190
8	;	170.0000	;	102.0000	;	0.744
9	;	182.0000	;	136.0000	;	0.779
10	;	182.0000	;	168.0000	;	0.628
11	;	176.0000	;	102.0000	;	0.597
12	;	182.0000	;	136.0000	;	0.663
13	;	182.0000	;	166.0000	;	0.484
14	;	174.0000	;	46.0000	;	0.863
15	;	178.0000	;	44.0000	;	0.606
16	;	168.0000	;	48.0000	;	0.730
