ID	;	x	;	y	;	score
0	;	208.0000	;	22.0000	;	0.776
1	;	202.0000	;	36.0000	;	0.856
2	;	198.0000	;	36.0000	;	0.855
3	;	216.0000	;	38.0000	;	0.728
4	;	222.0000	;	28.0000	;	0.810
5	;	206.0000	;	36.0000	;	0.629
6	;	222.0000	;	40.0000	;	0.296
7	;	220.0000	;	32.0000	;	0.382
8	;	214.0000	;	74.0000	;	0.759
9	;	216.0000	;	104.0000	;	0.741
10	;	212.0000	;	136.0000	;	0.813
11	;	222.0000	;	72.0000	;	0.649
12	;	220.0000	;	104.0000	;	0.667
13	;	220.0000	;	132.0000	;	0.552
14	;	206.0000	;	20.0000	;	0.852
15	;	210.0000	;	20.0000	;	0.568
16	;	200.0000	;	22.0000	;	0.828
