ID	;	x	;	y	;	score
0	;	208.0000	;	58.0000	;	0.865
1	;	208.0000	;	90.0000	;	0.656
2	;	202.0000	;	92.0000	;	0.840
3	;	254.0000	;	86.0000	;	0.742
4	;	254.0000	;	52.0000	;	0.854
5	;	214.0000	;	86.0000	;	0.517
6	;	252.0000	;	88.0000	;	0.223
8	;	232.0000	;	164.0000	;	0.591
9	;	248.0000	;	226.0000	;	0.621
10	;	236.0000	;	290.0000	;	0.769
11	;	242.0000	;	162.0000	;	0.542
12	;	248.0000	;	224.0000	;	0.429
13	;	242.0000	;	282.0000	;	0.353
14	;	200.0000	;	56.0000	;	0.761
15	;	208.0000	;	50.0000	;	0.928
16	;	188.0000	;	66.0000	;	0.940
