ID	;	x	;	y	;	score
0	;	84.0000	;	32.0000	;	0.861
1	;	96.0000	;	54.0000	;	0.705
2	;	90.0000	;	54.0000	;	0.602
3	;	66.0000	;	60.0000	;	0.171
4	;	66.0000	;	40.0000	;	0.128
5	;	102.0000	;	54.0000	;	0.819
6	;	66.0000	;	54.0000	;	0.785
7	;	66.0000	;	36.0000	;	0.846
8	;	90.0000	;	112.0000	;	0.691
9	;	84.0000	;	158.0000	;	0.596
10	;	78.0000	;	200.0000	;	0.486
11	;	100.0000	;	114.0000	;	0.745
12	;	82.0000	;	158.0000	;	0.748
13	;	74.0000	;	204.0000	;	0.815
15	;	88.0000	;	30.0000	;	0.856
17	;	100.0000	;	34.0000	;	0.955
