ID	;	x	;	y	;	score
0	;	70.0000	;	34.0000	;	0.878
1	;	86.0000	;	60.0000	;	0.809
2	;	94.0000	;	62.0000	;	0.573
3	;	118.0000	;	82.0000	;	0.351
4	;	112.0000	;	108.0000	;	0.226
5	;	80.0000	;	58.0000	;	0.699
6	;	30.0000	;	56.0000	;	0.628
7	;	36.0000	;	32.0000	;	0.410
8	;	72.0000	;	128.0000	;	0.476
9	;	58.0000	;	176.0000	;	0.285
10	;	52.0000	;	222.0000	;	0.155
11	;	58.0000	;	128.0000	;	0.522
12	;	40.0000	;	178.0000	;	0.419
13	;	40.0000	;	230.0000	;	0.227
14	;	68.0000	;	30.0000	;	0.586
15	;	74.0000	;	32.0000	;	0.836
17	;	90.0000	;	38.0000	;	0.793
