ID	;	x	;	y	;	score
0	;	104.0000	;	20.0000	;	0.812
1	;	114.0000	;	38.0000	;	0.833
2	;	108.0000	;	32.0000	;	0.663
3	;	88.0000	;	36.0000	;	0.458
4	;	88.0000	;	26.0000	;	0.742
5	;	116.0000	;	40.0000	;	0.719
6	;	92.0000	;	48.0000	;	0.687
7	;	88.0000	;	30.0000	;	0.538
8	;	106.0000	;	78.0000	;	0.665
9	;	102.0000	;	110.0000	;	0.527
10	;	100.0000	;	136.0000	;	0.328
11	;	114.0000	;	82.0000	;	0.706
12	;	102.0000	;	112.0000	;	0.577
13	;	98.0000	;	142.0000	;	0.263
14	;	104.0000	;	18.0000	;	0.138
15	;	106.0000	;	18.0000	;	0.928
17	;	114.0000	;	22.0000	;	0.873
