ID	;	x	;	y	;	score
0	;	63450.0000	;	5315.6250	;	0.956
1	;	59400.0000	;	7340.6250	;	0.799
2	;	60300.0000	;	7087.5000	;	0.851
3	;	67500.0000	;	6834.3750	;	0.846
4	;	67500.0000	;	4050.0000	;	0.605
5	;	57150.0000	;	7846.8750	;	0.611
6	;	56250.0000	;	11643.7500	;	0.177
8	;	60300.0000	;	14681.2500	;	0.642
9	;	63450.0000	;	20756.2500	;	0.866
10	;	63900.0000	;	26578.1250	;	0.678
11	;	58500.0000	;	14428.1250	;	0.535
12	;	64350.0000	;	20503.1250	;	0.615
13	;	63900.0000	;	26325.0000	;	0.536
14	;	62100.0000	;	5062.5000	;	0.981
15	;	63000.0000	;	4809.3750	;	0.356
16	;	59850.0000	;	5315.6250	;	0.865
