ID	;	x	;	y	;	score
0	;	114.0000	;	10.0000	;	0.918
1	;	118.0000	;	30.0000	;	0.788
2	;	120.0000	;	28.0000	;	0.526
3	;	94.0000	;	34.0000	;	0.205
4	;	86.0000	;	28.0000	;	0.355
5	;	116.0000	;	30.0000	;	0.760
6	;	86.0000	;	36.0000	;	0.764
7	;	82.0000	;	24.0000	;	0.487
8	;	112.0000	;	88.0000	;	0.522
9	;	102.0000	;	132.0000	;	0.573
10	;	98.0000	;	170.0000	;	0.299
11	;	110.0000	;	90.0000	;	0.654
12	;	102.0000	;	134.0000	;	0.742
13	;	98.0000	;	172.0000	;	0.494
14	;	114.0000	;	8.0000	;	0.667
15	;	120.0000	;	10.0000	;	0.837
17	;	126.0000	;	16.0000	;	0.746
