ID	;	x	;	y	;	score
0	;	104.0000	;	50.0000	;	0.774
1	;	116.0000	;	64.0000	;	0.708
2	;	120.0000	;	64.0000	;	0.675
3	;	96.0000	;	66.0000	;	0.194
4	;	92.0000	;	54.0000	;	0.365
5	;	112.0000	;	64.0000	;	0.705
6	;	88.0000	;	66.0000	;	0.849
7	;	88.0000	;	52.0000	;	0.781
8	;	112.0000	;	104.0000	;	0.629
9	;	100.0000	;	134.0000	;	0.715
10	;	98.0000	;	166.0000	;	0.618
11	;	106.0000	;	104.0000	;	0.788
12	;	98.0000	;	136.0000	;	0.912
13	;	100.0000	;	168.0000	;	0.821
15	;	108.0000	;	48.0000	;	0.754
17	;	114.0000	;	50.0000	;	1.019
