ID	;	x	;	y	;	score
0	;	114.0000	;	20.0000	;	0.767
1	;	112.0000	;	38.0000	;	0.658
2	;	106.0000	;	36.0000	;	0.499
3	;	88.0000	;	48.0000	;	0.096
5	;	120.0000	;	38.0000	;	0.648
6	;	92.0000	;	48.0000	;	0.440
7	;	88.0000	;	24.0000	;	0.302
8	;	108.0000	;	76.0000	;	0.553
9	;	100.0000	;	110.0000	;	0.318
10	;	98.0000	;	128.0000	;	0.193
11	;	118.0000	;	80.0000	;	0.592
12	;	100.0000	;	110.0000	;	0.565
13	;	98.0000	;	132.0000	;	0.344
14	;	110.0000	;	18.0000	;	0.680
15	;	116.0000	;	18.0000	;	0.784
16	;	104.0000	;	18.0000	;	0.455
17	;	122.0000	;	20.0000	;	0.405
