ID	;	x	;	y	;	score
0	;	110.0000	;	24.0000	;	0.723
1	;	116.0000	;	42.0000	;	0.786
2	;	112.0000	;	38.0000	;	0.545
3	;	94.0000	;	50.0000	;	0.118
5	;	118.0000	;	44.0000	;	0.753
6	;	84.0000	;	48.0000	;	0.692
7	;	86.0000	;	28.0000	;	0.778
8	;	110.0000	;	80.0000	;	0.531
9	;	102.0000	;	114.0000	;	0.402
10	;	98.0000	;	142.0000	;	0.231
11	;	116.0000	;	84.0000	;	0.756
12	;	100.0000	;	114.0000	;	0.524
13	;	98.0000	;	148.0000	;	0.288
14	;	110.0000	;	20.0000	;	0.845
15	;	114.0000	;	22.0000	;	0.844
17	;	122.0000	;	26.0000	;	0.973
